episode,reward,avg_delay,throughput,epsilon,loss
0,-1879.500000000002,2.2608695030212402,1592,0.0,0.0
1,-1929.6400000000003,2.2142856121063232,1625,0.0,0.0
2,-2003.8200000000027,2.465116262435913,1460,0.0,112.05651205778122
3,-2004.0399999999993,3.357142925262451,1072,0.0,0.0
4,-1934.4200000000005,2.568965435028076,1401,0.0,0.0
5,-1866.640000000002,3.1388888359069824,1146,0.0,86.53461353778839
6,-1844.000000000001,3.066666603088379,1173,0.0,0.0
7,-1965.9000000000017,2.777777671813965,1296,0.0,0.0
8,-1941.3200000000004,3.117647171020508,1154,0.0,54.416602754592894
9,-2063.98,3.7959184646606445,948,0.0,0.0
10,-1906.260000000001,3.592592477798462,1002,0.0,0.0
11,-1835.7199999999993,1.692307710647583,2127,0.0,42.80528655052185
12,-1928.6599999999992,4.4571428298950195,807,0.0,0.0
13,-1822.02,3.1666667461395264,1136,0.0,0.0
14,-2026.1800000000026,2.6341464519500732,1366,0.0,22.44421507716179
15,-2053.480000000001,4.333333492279053,830,0.0,0.0
16,-2048.2200000000025,1.7169811725616455,2096,0.0,0.0
17,-1873.1000000000008,1.8222222328186035,1975,0.0,32.320377704501155
18,-1952.7599999999993,1.8666666746139526,1928,0.0,0.0
19,-1967.3400000000001,4.1875,859,0.0,14.810108003020286
20,-2003.1599999999994,1.0634920597076416,3385,0.0,0.0
21,-1957.1600000000033,1.6326531171798706,2204,0.0,0.0
22,-1935.720000000002,2.0,1800,0.0,16.707884153723718
23,-1883.8399999999983,2.6818182468414307,1342,0.0,0.0
24,-1873.9999999999993,3.942857027053833,913,0.0,0.0
25,-1916.9199999999998,2.555555582046509,1408,0.0,14.373115426301956
26,-1901.2999999999988,3.2142856121063232,1120,0.0,0.0
27,-1968.1200000000003,2.3421051502227783,1537,0.0,0.0
28,-1698.1399999999987,3.9795918464660645,904,0.0,17.669580844044685
29,-2062.9999999999995,2.403846263885498,1497,0.0,0.0
30,-1874.3000000000004,3.7666666507720947,955,0.0,0.0
31,-1814.3800000000026,3.7391304969787598,962,0.0,14.284039223194123
32,-1820.7000000000025,5.291666507720947,680,0.0,0.0
33,-2002.2799999999995,1.9518072605133057,1844,0.0,0.0
34,-1984.740000000001,4.4146342277526855,815,0.0,15.402054825425148
35,-1873.1800000000005,2.204545497894287,1632,0.0,0.0
36,-2064.3799999999987,1.9459459781646729,1849,0.0,14.293969063460827
37,-1902.740000000001,4.277777671813965,841,0.0,0.0
38,-1947.76,5.068965435028076,710,0.0,0.0
39,-1842.2999999999993,3.21875,1118,0.0,12.727473491430283
40,-2022.0200000000016,3.1379311084747314,1147,0.0,0.0
41,-1860.6800000000003,3.3333332538604736,1080,0.0,0.0
42,-1819.800000000001,1.7777777910232544,2024,0.0,11.757797965407372
43,-1943.9800000000014,2.7073171138763428,1329,0.0,0.0
44,-1978.699999999998,4.2602739334106445,845,0.0,0.0
45,-1903.0600000000002,5.518518447875977,652,0.0,16.090971644222737
46,-1916.4999999999995,2.6086957454681396,1379,0.0,0.0
47,-1931.3600000000015,2.769230842590332,1299,0.0,0.0
48,-2076.7999999999997,1.893617033958435,1901,0.0,12.733293405175209
49,-1860.1000000000006,5.42307710647583,663,0.0,0.0
50,-2027.379999999999,2.6111111640930176,1378,0.0,0.0
51,-2077.779999999999,2.4000000953674316,1499,0.0,16.613953348994254
52,-1901.1600000000012,4.300000190734863,837,0.0,0.0
53,-1975.1999999999991,2.6410255432128906,1363,0.0,0.0
54,-1927.3400000000022,4.15625,866,0.0,15.227736954391002
55,-1989.3600000000013,3.7441861629486084,961,0.0,0.0
56,-1986.3799999999974,3.1384615898132324,1147,0.0,14.098395271599292
57,-1877.74,2.305555582046509,1561,0.0,0.0
58,-1908.979999999999,2.9000000953674316,1241,0.0,0.0
59,-1782.4599999999996,3.9767441749572754,905,0.0,10.982225584983826
60,-1911.08,1.3492063283920288,2668,0.0,0.0
61,-2027.9000000000003,2.738461494445801,1314,0.0,0.0
62,-1867.6000000000013,5.068965435028076,710,0.0,13.089815235137939
63,-1950.339999999999,1.3043478727340698,2759,0.0,0.0
64,-1896.72,1.545454502105713,2329,0.0,0.0
65,-1980.7799999999984,2.8181817531585693,1277,0.0,10.570164497941732
66,-1818.1199999999997,2.5238094329833984,1426,0.0,0.0
67,-1877.160000000001,3.5641026496887207,1010,0.0,0.0
68,-2093.6000000000026,1.1960784196853638,3009,0.0,11.415611179172993
69,-1896.5000000000002,3.9259259700775146,916,0.0,0.0
70,-1931.7399999999996,2.6052632331848145,1381,0.0,0.0
71,-1947.9199999999992,4.65217399597168,773,0.0,12.70021332502365
72,-1883.9600000000012,3.805555582046509,945,0.0,0.0
73,-2000.0600000000018,1.2799999713897705,2812,0.0,12.182399097085
74,-2115.940000000001,2.3333332538604736,1542,0.0,0.0
75,-1956.1999999999994,4.058823585510254,886,0.0,0.0
76,-1804.9200000000003,3.799999952316284,947,0.0,14.53518087118864
77,-1986.8399999999997,3.1111111640930176,1157,0.0,0.0
78,-1777.5399999999993,5.384615421295166,668,0.0,0.0
79,-1847.5800000000006,3.4237287044525146,1051,0.0,12.723676094412804
80,-1892.4400000000003,3.0999999046325684,1161,0.0,0.0
81,-1878.5200000000002,2.6666667461395264,1349,0.0,0.0
82,-1799.8800000000008,3.3142857551574707,1086,0.0,11.200875866413117
83,-1816.56,2.222222328186035,1619,0.0,0.0
84,-1888.1399999999978,3.551020383834839,1013,0.0,0.0
85,-1760.0999999999992,3.7948718070983887,948,0.0,10.705139981210232
86,-1818.5400000000018,3.838709592819214,937,0.0,0.0
87,-1795.1800000000005,3.474576234817505,1036,0.0,0.0
88,-1973.3400000000001,3.8529412746429443,934,0.0,8.294848703593015
89,-1871.0200000000002,4.91304349899292,732,0.0,0.0
90,-1775.0799999999997,4.357142925262451,826,0.0,0.0
91,-1766.68,3.777777671813965,952,0.0,10.202406588941813
92,-1840.3799999999999,3.3428571224212646,1076,0.0,0.0
93,-1865.6200000000008,1.25,2880,0.0,7.65349710136652
94,-1763.9199999999994,4.473684310913086,804,0.0,0.0
95,-1832.2800000000004,2.25,1600,0.0,0.0
96,-1868.639999999999,2.2272727489471436,1616,0.0,8.358428251743316
97,-1927.4999999999993,5.210526466369629,690,0.0,0.0
98,-1829.9800000000005,5.941176414489746,605,0.0,0.0
99,-1795.0000000000014,2.566666603088379,1402,0.0,9.86416253373027
100,-1929.9200000000026,2.6451613903045654,1360,0.0,0.0
101,-1896.3399999999992,2.465116262435913,1460,0.0,0.0
102,-1919.9999999999986,2.590909004211426,1389,0.0,10.780099933594466
103,-1879.9800000000025,4.666666507720947,771,0.0,0.0
104,-1834.4600000000014,3.904761791229248,921,0.0,0.0
105,-1728.1599999999983,3.65116286277771,985,0.0,11.61120946854353
106,-1905.2000000000023,4.378378391265869,822,0.0,0.0
107,-2031.7000000000025,4.066666603088379,885,0.0,0.0
108,-1864.1399999999996,3.595238208770752,1001,0.0,12.504387073218822
109,-1911.5399999999993,2.4285714626312256,1482,0.0,0.0
110,-1787.9600000000012,5.375,669,0.0,9.324086910486221
111,-1794.8,6.5333333015441895,551,0.0,0.0
112,-2009.1199999999985,4.5,800,0.0,0.0
113,-1947.0199999999993,2.4666666984558105,1459,0.0,11.715078991651534
114,-1756.32,2.75,1309,0.0,0.0
115,-1785.4200000000012,2.0422534942626953,1762,0.0,0.0
116,-1835.8799999999992,2.3658535480499268,1521,0.0,10.523123402893543
117,-1908.240000000002,3.404761791229248,1057,0.0,0.0
118,-1942.3200000000002,2.0389609336853027,1765,0.0,0.0
119,-1837.8200000000002,3.7058823108673096,971,0.0,12.22027590945363
